Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days),Crew Size,Mission Risk Level,Success Probability
UAE,2025.0,Triple-buffered executive parallelism,Manned,Cherylport,Navigation,28.52,50.0,AI Navigation,High,"France, Japan, UAE",161.0,66.0,Low,0.047
USA,2011.0,Pre-emptive scalable installation,Unmanned,Tapiamouth,Research,36.06,98.0,Solar Propulsion,Low,Russia,143.0,42.0,High,0.948
USA,2012.0,Digitized stable analyzer,Manned,Reneeburgh,Communication,11.09,85.0,Traditional Rocket,Medium,"UAE, India, UK",150.0,45.0,High,0.129
China,2025.0,Multi-tiered non-volatile hardware,Manned,Davismouth,Navigation,11.3,79.0,Solar Propulsion,High,India,32.0,62.0,Medium,0.034
France,2012.0,Expanded zero-defect archive,Manned,Port Anthony,Navigation,31.8,51.0,Solar Propulsion,Low,"India, Israel, France",131.0,57.0,Low,0.414
USA,2008.0,Inverse motivating system engine,Unmanned,East Pamela,Research,35.92,75.0,Reusable Rocket,High,"Germany, India",327.0,6.0,Low,0.195
France,2016.0,Reduced secondary productivity,Manned,Amandachester,Navigation,39.59,76.0,Reusable Rocket,Medium,UAE,57.0,28.0,Medium,0.184
France,2014.0,Versatile contextually-based productivity,Manned,New Loriberg,Research,30.88,67.0,Solar Propulsion,Medium,"France, USA, Israel",355.0,28.0,Low,0.288
Japan,2008.0,Reverse-engineered interactive neural-net,Manned,South Amy,Spy,15.67,56.0,Solar Propulsion,Medium,"UAE, Japan, India",265.0,44.0,Medium,0.248
Israel,2000.0,Reverse-engineered multimedia initiative,Unmanned,,Spy,8.22,67.0,Solar Propulsion,Low,"USA, China",62.0,84.0,High,0.685
UAE,2007.0,Streamlined empowering strategy,Unmanned,Meganside,Spy,9.14,84.0,Nuclear Propulsion,Low,Japan,173.0,30.0,Medium,0.187
China,2002.0,Innovative high-level approach,Manned,East Stephaniefurt,Spy,22.63,60.0,Solar Propulsion,High,"USA, UK, UAE",325.0,62.0,Low,0.543
Germany,2005.0,Re-engineered bifurcated secured line,Manned,West Michael,Spy,29.13,85.0,Solar Propulsion,Medium,Germany,121.0,75.0,Medium,0.986
Germany,2002.0,Team-oriented interactive benchmark,Unmanned,North Lisaburgh,Research,27.26,87.0,Reusable Rocket,High,"UK, UAE",351.0,92.0,High,0.432
UK,2021.0,Synchronized clear-thinking functionalities,Manned,Nicolemouth,Research,45.79,96.0,Solar Propulsion,Low,"USA, Israel",346.0,89.0,Low,0.642
Israel,2011.0,Focused multi-tasking pricing structure,Unmanned,Reyeston,Communication,29.45,95.0,Solar Propulsion,Medium,"UAE, France",185.0,62.0,High,0.969
France,2016.0,Team-oriented system-worthy encoding,Unmanned,Ashleyside,Weather,39.79,68.0,Nuclear Propulsion,High,"Israel, Germany",326.0,97.0,High,0.138
Russia,2022.0,Diverse 24hour paradigm,Manned,New Kevinmouth,Research,39.16,89.0,AI Navigation,Medium,"USA, France, UK",280.0,1.0,Medium,0.419
Germany,2023.0,User-friendly disintermediate toolset,Manned,Crystalstad,Communication,4.67,57.0,Nuclear Propulsion,High,"India, USA",239.0,27.0,High,0.85
UK,2011.0,Up-sized client-server standardization,Manned,Deleonland,Spy,45.7,56.0,Traditional Rocket,High,"China, Germany",195.0,62.0,Low,0.932
UAE,2016.0,User-friendly zero administration contingency,Unmanned,Christensentown,Navigation,15.64,95.0,Traditional Rocket,High,UAE,330.0,77.0,High,0.601
UAE,2010.0,Focused modular utilization,Unmanned,New Richard,Navigation,22.39,91.0,Reusable Rocket,Medium,Israel,196.0,3.0,High,0.143
France,2006.0,Extended optimizing analyzer,Unmanned,New Benjamin,Spy,11.02,73.0,Nuclear Propulsion,Medium,"Japan, USA, India",235.0,70.0,Medium,0.901
France,2003.0,Reverse-engineered 4thgeneration application,Manned,Turnerville,Communication,39.26,92.0,Nuclear Propulsion,Low,Germany,16.0,72.0,High,0.174
Germany,2011.0,Persevering stable access,Manned,Port Cameron,Communication,18.48,70.0,Solar Propulsion,Low,"China, Germany, UAE",349.0,27.0,Medium,0.353
USA,2006.0,Front-line well-modulated synergy,Unmanned,Pearsonstad,Navigation,36.1,96.0,Reusable Rocket,Low,"Germany, USA, France",19.0,9.0,Medium,0.376
China,2017.0,Customizable optimizing policy,Unmanned,Harrishaven,Weather,1.45,89.0,Nuclear Propulsion,Low,"Germany, Japan, USA",18.0,62.0,Low,0.447
UAE,2025.0,Sharable impactful model,Manned,Lake Andrew,Research,38.56,51.0,AI Navigation,High,Russia,357.0,37.0,Low,0.79
Japan,2014.0,Public-key cohesive artificial intelligence,Manned,Port Brittany,Navigation,20.51,95.0,Nuclear Propulsion,Medium,Israel,210.0,97.0,Low,0.802
China,2003.0,Fundamental disintermediate website,Unmanned,Mooreville,Weather,15.78,60.0,Nuclear Propulsion,Medium,"Germany, India",292.0,51.0,Low,0.72
France,2003.0,User-centric client-driven hierarchy,Manned,Lake Briannahaven,Weather,7.43,52.0,AI Navigation,Medium,"France, India, Germany",109.0,44.0,Medium,0.022
Japan,2018.0,Re-engineered composite flexibility,Manned,New Ericfurt,Communication,29.04,99.0,Solar Propulsion,High,"Germany, Israel",236.0,24.0,High,0.565
Israel,2013.0,Proactive upward-trending definition,Unmanned,South Jason,Navigation,3.43,70.0,Traditional Rocket,Low,"Japan, France",183.0,79.0,Low,0.747
India,2007.0,Multi-tiered systemic archive,Manned,East Travisfort,Navigation,44.84,82.0,Nuclear Propulsion,Low,"Russia, UK, UAE",335.0,59.0,Low,0.445
France,,Decentralized dynamic interface,Manned,Tonyport,Research,7.6,77.0,Reusable Rocket,High,"Israel, USA, China",114.0,32.0,Low,0.945
USA,2013.0,User-friendly explicit neural-net,Unmanned,Savageland,Spy,35.67,78.0,Solar Propulsion,Medium,"Russia, France",143.0,96.0,High,0.824
India,2013.0,Re-engineered value-added software,Unmanned,Emilyburgh,Spy,49.27,55.0,Nuclear Propulsion,High,Germany,307.0,88.0,Low,0.638
UK,2015.0,Re-contextualized optimizing website,Manned,New Amanda,Spy,28.13,95.0,AI Navigation,Medium,Germany,209.0,52.0,High,
Germany,2014.0,Centralized encompassing Local Area Network,Manned,East Kristina,Communication,29.54,96.0,Reusable Rocket,Low,"France, Japan",152.0,62.0,Medium,0.652
India,2021.0,Inverse cohesive conglomeration,Unmanned,Kellerville,Navigation,8.92,84.0,Solar Propulsion,Low,"Germany, UAE, UK",126.0,58.0,Medium,0.912
UK,2002.0,Adaptive directional adapter,Unmanned,South Jamesside,Navigation,15.79,71.0,Solar Propulsion,Low,"China, Israel",288.0,52.0,Medium,0.379
Japan,2025.0,Right-sized impactful Graphical User Interface,Unmanned,Bobbyfort,Research,39.43,95.0,Solar Propulsion,Medium,"Germany, Israel, India",142.0,12.0,High,0.838
Israel,2002.0,Distributed directional challenge,Unmanned,Port Deborah,Weather,19.37,94.0,Reusable Rocket,High,Germany,341.0,39.0,Low,0.313
UK,2023.0,Realigned incremental customer loyalty,Manned,Port Thomasshire,Navigation,8.36,88.0,Reusable Rocket,Low,India,285.0,2.0,Low,0.57
Germany,2020.0,Right-sized contextually-based portal,Manned,Millerbury,Navigation,15.29,78.0,Reusable Rocket,Medium,India,65.0,3.0,Low,0.648
Israel,2009.0,Optimized holistic workforce,Manned,Smithchester,Navigation,19.5,82.0,Traditional Rocket,Low,India,95.0,56.0,Low,0.678
UK,2017.0,Multi-lateral content-based Graphical User Interface,Unmanned,Port Georgetown,Weather,5.81,95.0,Reusable Rocket,Medium,Israel,158.0,81.0,Low,0.883
India,2001.0,Persistent intermediate success,Unmanned,Smithside,Spy,8.44,85.0,AI Navigation,High,France,175.0,59.0,High,0.235
Russia,2022.0,Phased methodical moderator,Unmanned,Lopezside,Weather,15.6,94.0,AI Navigation,High,USA,,2.0,Medium,0.262
India,2012.0,Multi-layered static focus group,Manned,Marytown,Research,31.37,83.0,Solar Propulsion,Medium,China,292.0,2.0,Low,0.704
France,2014.0,Devolved secondary access,Manned,Parktown,Spy,1.49,58.0,Solar Propulsion,Low,"UK, Japan",297.0,92.0,Medium,0.177
India,2019.0,Assimilated interactive synergy,Unmanned,Michaeltown,Spy,32.23,54.0,Reusable Rocket,Medium,"China, UAE",1.0,54.0,High,0.464
France,2008.0,Ameliorated dynamic support,Unmanned,Lammouth,Spy,7.53,100.0,Nuclear Propulsion,Medium,"France, UK",205.0,87.0,High,0.02
USA,2009.0,Triple-buffered directional interface,Manned,Lake Jennystad,Navigation,12.39,91.0,AI Navigation,Medium,"USA, Germany",127.0,96.0,Low,0.141
Germany,2022.0,Switchable analyzing ability,Unmanned,Jimenezfurt,Navigation,35.09,82.0,Reusable Rocket,Medium,India,199.0,97.0,High,0.679
France,2007.0,Total multimedia architecture,Manned,South Brandon,Navigation,5.67,87.0,Nuclear Propulsion,High,"Germany, India, France",110.0,1.0,Medium,0.747
Japan,2022.0,Fully-configurable bi-directional hardware,Unmanned,South Ashleyville,Research,21.21,68.0,Nuclear Propulsion,Low,"China, Japan",68.0,19.0,Low,0.115
Japan,2017.0,Advanced multi-tasking concept,Unmanned,Brentville,Research,33.03,60.0,Traditional Rocket,Low,Japan,157.0,2.0,Low,0.228
Israel,2010.0,Sharable national Local Area Network,Manned,Wendybury,Research,2.54,51.0,Solar Propulsion,High,"USA, China, Germany",195.0,53.0,Medium,0.099
USA,2014.0,Intuitive neutral Graphical User Interface,Manned,Chadberg,Research,26.7,53.0,Nuclear Propulsion,High,"Russia, India, Germany",269.0,44.0,Low,0.433
USA,2023.0,Optional incremental pricing structure,Manned,East Jessica,Navigation,46.87,57.0,Nuclear Propulsion,High,"Japan, Israel, Germany",307.0,90.0,Low,0.126
UAE,2009.0,Cross-platform local capacity,Manned,Christianburgh,Research,15.34,69.0,Solar Propulsion,High,"China, India",234.0,32.0,Medium,0.437
Israel,2023.0,Re-contextualized coherent hardware,Manned,West Annfurt,Weather,42.57,88.0,AI Navigation,Medium,"Japan, India, Russia",85.0,70.0,Low,0.732
Germany,2021.0,Synergized directional superstructure,Manned,Parkhaven,Spy,16.48,97.0,Reusable Rocket,Low,Japan,181.0,32.0,Low,0.683
UAE,2005.0,Programmable systemic moderator,Manned,North Donaldland,Weather,42.47,100.0,Nuclear Propulsion,Low,India,293.0,68.0,Medium,0.28
Russia,2005.0,User-friendly global policy,Unmanned,West Gloria,Navigation,18.37,84.0,Solar Propulsion,Low,"India, Germany, France",223.0,55.0,High,0.674
Germany,2019.0,Open-source methodical orchestration,Manned,Hughesbury,Weather,14.68,52.0,Nuclear Propulsion,High,"USA, France",201.0,75.0,Medium,0.928
Russia,2003.0,Exclusive intangible algorithm,Unmanned,Adambury,Research,45.83,82.0,AI Navigation,Medium,"India, China, Russia",158.0,56.0,Low,0.348
India,2015.0,Function-based value-added alliance,Manned,Sarahport,Spy,7.46,94.0,Traditional Rocket,Medium,USA,102.0,17.0,Medium,0.329
USA,2004.0,,Manned,New Samanthamouth,Navigation,11.71,100.0,Solar Propulsion,Low,"UAE, UK",61.0,38.0,Low,0.571
Israel,2006.0,Organic interactive open architecture,Unmanned,East Curtistown,Navigation,46.74,77.0,Nuclear Propulsion,Medium,"UK, UAE",311.0,24.0,Low,0.246
Israel,2013.0,Ergonomic homogeneous initiative,Manned,Thomasshire,Research,28.52,54.0,Solar Propulsion,Medium,India,343.0,69.0,Medium,0.652
UK,2021.0,Public-key uniform flexibility,Unmanned,New Matthewport,Research,43.52,97.0,Reusable Rocket,High,"Israel, USA, Germany",217.0,98.0,Low,0.832
India,2012.0,Reduced stable hardware,Manned,Nguyenside,Research,47.72,69.0,Solar Propulsion,Medium,UAE,251.0,70.0,High,0.459
Israel,2019.0,Reactive mission-critical leverage,Manned,New Alyssaburgh,Research,45.73,67.0,Solar Propulsion,Medium,"UK, Japan",39.0,86.0,Low,0.68
Israel,2019.0,Fundamental intangible concept,Manned,West Julie,Weather,4.36,77.0,Nuclear Propulsion,High,"USA, China, UAE",268.0,11.0,Medium,0.652
UK,2018.0,Mandatory zero administration matrices,Manned,West Gary,Research,31.23,73.0,Solar Propulsion,Medium,"Russia, Israel, China",287.0,16.0,High,0.039
Germany,2016.0,Pre-emptive neutral infrastructure,Manned,Bonillatown,Navigation,27.93,96.0,Nuclear Propulsion,Medium,India,365.0,97.0,High,0.183
Israel,2014.0,Implemented demand-driven utilization,Unmanned,New Richard,Spy,14.47,54.0,Nuclear Propulsion,High,Japan,,73.0,Low,0.894
UK,2001.0,Enterprise-wide multi-state artificial intelligence,Unmanned,West Margaretfort,Weather,45.02,54.0,Solar Propulsion,High,"China, USA",161.0,59.0,Medium,0.939
UK,2025.0,Implemented even-keeled monitoring,Manned,New Amy,Spy,7.91,60.0,Reusable Rocket,Medium,"France, China",229.0,70.0,Low,0.78
UAE,2022.0,Stand-alone multi-state firmware,Unmanned,Elijahfurt,Communication,31.57,73.0,Nuclear Propulsion,High,"UK, UAE",281.0,80.0,Low,0.921
USA,2023.0,Open-architected incremental pricing structure,Manned,New Jacob,Communication,15.26,96.0,Nuclear Propulsion,High,"UAE, Japan, France",98.0,93.0,Medium,0.306
Russia,2008.0,Upgradable bottom-line frame,Manned,Sandrastad,Communication,27.86,95.0,AI Navigation,Low,"UAE, Israel, France",255.0,3.0,Medium,0.248
Russia,2003.0,Quality-focused systemic contingency,Manned,East Isaacshire,Navigation,3.57,63.0,Reusable Rocket,High,"Japan, UAE",164.0,20.0,Low,0.384
UAE,2000.0,Right-sized multi-state customer loyalty,Unmanned,Port Jennifer,Spy,18.5,68.0,AI Navigation,Medium,Israel,288.0,59.0,High,0.055
UAE,2025.0,Down-sized bandwidth-monitored architecture,Unmanned,Wyattbury,Navigation,17.98,53.0,Nuclear Propulsion,Low,Russia,170.0,36.0,Low,0.81
,2009.0,Configurable bottom-line matrices,Unmanned,North Diane,Spy,29.97,55.0,Reusable Rocket,Medium,"Japan, Israel",112.0,19.0,High,0.984
Germany,2022.0,Configurable system-worthy knowledge user,Unmanned,Christyborough,Research,9.04,66.0,Traditional Rocket,Low,"Germany, Israel, India",146.0,90.0,Low,0.824
France,2020.0,Sharable 24/7 superstructure,Manned,West Jesus,Communication,4.63,93.0,Reusable Rocket,Medium,"UAE, UK, France",178.0,67.0,Medium,0.555
Germany,2013.0,Team-oriented grid-enabled paradigm,Unmanned,East Tammy,Navigation,42.09,82.0,AI Navigation,Low,"UAE, Israel",336.0,19.0,High,0.295
Israel,2010.0,Sharable national Local Area Network,Manned,Wendybury,Research,2.54,51.0,Solar Propulsion,High,"USA, China, Germany",195.0,20.0,Medium,0.198
Russia,2014.0,Business-focused user-facing benchmark,Unmanned,Jonland,Communication,8.22,95.0,Reusable Rocket,High,"UAE, Japan, China",44.0,96.0,Medium,0.364
USA,2016.0,Reverse-engineered scalable capacity,Unmanned,Marshburgh,Research,41.74,89.0,Reusable Rocket,Low,"Israel, UK",225.0,71.0,Medium,0.667
USA,2014.0,Inverse zero tolerance toolset,Unmanned,Wendyside,Research,46.97,68.0,Solar Propulsion,Low,"India, UAE",198.0,52.0,Medium,0.447
Japan,2013.0,Cloned holistic help-desk,Manned,Lake Waynechester,Spy,14.82,96.0,Traditional Rocket,High,UAE,195.0,33.0,Medium,0.934
India,2015.0,Switchable leadingedge ability,Unmanned,Collierview,Research,32.19,59.0,Nuclear Propulsion,Low,"Russia, Israel, UAE",31.0,40.0,Low,0.854
India,2015.0,Versatile didactic budgetary management,Manned,North Collinfurt,Spy,28.65,73.0,Reusable Rocket,Low,"Germany, India",270.0,39.0,High,0.102
Israel,2019.0,Total disintermediate collaboration,Unmanned,South Jeffrey,Research,7.88,70.0,Solar Propulsion,High,"Japan, Germany",55.0,82.0,Low,0.132
France,2016.0,Visionary zero administration throughput,Unmanned,Patrickchester,Communication,32.33,86.0,Nuclear Propulsion,Low,Japan,78.0,1.0,Low,0.676
UAE,2018.0,Advanced multi-tasking access,Unmanned,West Nathan,Navigation,24.57,95.0,Solar Propulsion,Low,"China, Germany",56.0,11.0,Low,0.231
USA,2011.0,Open-architected local structure,Manned,Port Timothy,Research,1.08,50.0,Solar Propulsion,Low,"Israel, Russia",173.0,92.0,Medium,0.791
China,2009.0,Customer-focused disintermediate infrastructure,Manned,New Tina,Communication,29.2,92.0,Reusable Rocket,Low,"Russia, UK, Germany",225.0,57.0,Low,0.591
UAE,2022.0,Digitized explicit functionalities,Manned,Salazarstad,Research,10.4,92.0,AI Navigation,Low,"China, Russia",68.0,89.0,High,0.23
France,2006.0,Re-engineered human-resource protocol,Unmanned,East Marcus,Spy,6.73,73.0,Solar Propulsion,Low,"India, USA",124.0,50.0,Low,0.479
UK,2011.0,Mandatory secondary extranet,Manned,Jasonshire,Communication,8.0,75.0,Solar Propulsion,High,"France, India, Germany",277.0,23.0,Medium,0.406
France,2017.0,Self-enabling human-resource interface,Manned,New Justin,Communication,29.35,76.0,Reusable Rocket,Low,China,97.0,31.0,High,0.873
China,2021.0,Up-sized coherent info-mediaries,Manned,South Sarah,Communication,10.64,80.0,Nuclear Propulsion,High,Russia,251.0,94.0,High,0.032
UK,2009.0,Virtual foreground conglomeration,Manned,South Emily,Communication,18.27,83.0,Nuclear Propulsion,Medium,Germany,225.0,42.0,High,0.896
France,2008.0,Ergonomic background firmware,Unmanned,Christinabury,Weather,26.4,59.0,AI Navigation,Low,Russia,133.0,99.0,High,0.652
UK,2018.0,Extended zero-defect process improvement,Manned,Pamelachester,Spy,7.0,70.0,Traditional Rocket,Low,"France, UK, UAE",229.0,7.0,Low,0.738
UAE,2024.0,User-friendly transitional array,Manned,West Maryview,Spy,30.89,88.0,Nuclear Propulsion,High,India,285.0,16.0,Medium,0.003
Japan,2012.0,Team-oriented solution-oriented methodology,Unmanned,East Blake,Weather,20.08,97.0,Nuclear Propulsion,Medium,Russia,153.0,90.0,High,0.628
Russia,2001.0,Reduced solution-oriented encoding,Manned,North Toddport,Weather,21.27,89.0,Traditional Rocket,Low,"Russia, Japan",345.0,60.0,High,0.588
China,2022.0,Secured actuating analyzer,Manned,West Staceyton,Communication,28.96,65.0,AI Navigation,Low,India,328.0,2.0,Medium,0.537
India,2015.0,Universal explicit synergy,Unmanned,Ashleymouth,Research,1.97,85.0,Traditional Rocket,Low,"India, Germany, Israel",43.0,1.0,Low,0.786
USA,2012.0,Balanced motivating algorithm,Unmanned,Leonview,Spy,3.15,65.0,Nuclear Propulsion,Low,"India, USA, Russia",284.0,48.0,High,0.556
Japan,2015.0,Advanced explicit archive,Unmanned,Reynoldsmouth,Spy,30.25,87.0,Reusable Rocket,Medium,"India, Russia, China",107.0,12.0,Low,0.857
India,2001.0,Customer-focused 4thgeneration projection,Unmanned,Port Charlotte,Spy,23.97,57.0,Solar Propulsion,High,UK,227.0,69.0,Low,0.233
UAE,2025.0,Triple-buffered executive parallelism,Manned,Cherylport,Navigation,28.52,50.0,AI Navigation,High,"France, Japan, UAE",161.0,37.0,Low,0.806
Israel,2025.0,Public-key actuating capacity,Manned,Patelside,Research,43.25,65.0,Reusable Rocket,Low,"India, UAE, Germany",265.0,32.0,Low,0.179
UAE,2017.0,User-friendly 4thgeneration encryption,Manned,East Jane,Spy,16.81,53.0,AI Navigation,Low,Germany,256.0,9.0,High,0.813
Israel,2013.0,Fundamental coherent leverage,Unmanned,Josephburgh,Weather,34.75,60.0,Traditional Rocket,Medium,"India, France",294.0,99.0,High,0.94
China,2007.0,Seamless non-volatile access,Unmanned,Shannonfort,Communication,16.8,72.0,AI Navigation,Low,"UK, Russia",353.0,19.0,Low,0.336
USA,2003.0,Progressive intermediate open architecture,Unmanned,Hoffmanchester,Navigation,12.84,96.0,Nuclear Propulsion,Low,"China, France, Germany",219.0,48.0,Low,0.53
China,2013.0,Front-line fresh-thinking customer loyalty,Manned,Jacobchester,Research,33.83,83.0,AI Navigation,High,"China, Germany, UK",53.0,80.0,Medium,0.658
UK,2019.0,Persevering full-range open architecture,Manned,South Donna,Communication,11.54,52.0,Nuclear Propulsion,High,"UK, Russia, Israel",307.0,3.0,Medium,0.079
Russia,2002.0,Secured mobile collaboration,Unmanned,North Bonnie,Research,26.31,72.0,Reusable Rocket,Medium,"China, France",162.0,20.0,Medium,0.494
Germany,2011.0,Streamlined static pricing structure,Manned,East Aprilville,Navigation,45.8,61.0,AI Navigation,Low,"France, UK, Germany",354.0,24.0,High,0.361
China,2012.0,Right-sized human-resource knowledgebase,Manned,South Jodimouth,Research,34.66,60.0,Solar Propulsion,High,"Germany, India",309.0,54.0,Medium,0.872
Israel,2018.0,Monitored intangible infrastructure,Unmanned,Port Michael,Communication,27.09,75.0,Solar Propulsion,Low,UK,144.0,33.0,High,0.877
Israel,2011.0,Business-focused needs-based throughput,Unmanned,West Brookefurt,Research,35.44,63.0,Nuclear Propulsion,Low,"China, Russia, UAE",174.0,24.0,High,0.701
